stimulus_id,utterance,relations
scene0525_00-plant-5-9-10-11-12-62,the plant at the far right hand side of the bookcase tucked in the furthest corner of the desk,"plant-bookshelf,bookshelf-desk"
scene0265_00-towel-6-30-8-9-17-18-28,the towel hanging draped over the side of the tub ,towel-bathtub
scene0586_00-trash_can-3-16-8-20,the short trashcan that is closest to the door,trash bin-door
scene0505_00-box-5-53-33-38-52-54,the box to the left hand side of the door as you are facing it,box-door
scene0262_00-plant-5-21-1-19-20-25,the smallest plant on the window sill  closest to office chair,"windowsill-office chair,plant-windowsill"
scene0074_00-pillow-4-22-5-21-23,the pillow that is in front of all the other pillows in the corner of the top shelf,pillow-air hockey table
scene0175_00-toilet_paper-5-32-12-31-33-34,the roll of toilet paper on the shelf that is the second one in from the right hand side,"shelf-air hockey table,airplane-toilet paper"
scene0138_00-desk-3-35-18-19,the desk at the end of the row of desks in the middle of the room with the office chair spun away from it,"desk-desk,desk-bed,office chair-desk"
scene0262_00-plant-5-19-1-20-21-25,the plant at the far left hand corner of the window sill as you are facing the window,"windowsill-window,plant-windowsill"
scene0147_00-pillow-5-3-1-2-21-26,the single pillow on the left hand side of the bed  if you are standing at the foot of the bed,pillow-bed
scene0505_00-desk-6-6-0-1-4-5-37,facing the windows  the desk on the right hand side of the two desks grouped together in the middle of the room,"desk-desk,desk-window"
scene0296_00-pillow-5-42-23-26-53-54,the pillow on the couch,pillow-couch
scene0404_00-storage_bin-4-37-36-39-40,cabinet closest to the tv,cabinet-tv
scene0175_00-toilet_paper-5-12-31-32-33-34,the toilet paper hanging on the wall by the toilet,"wall-toilet,toilet paper-wall"
scene0592_00-table-6-59-32-33-34-60-61,in the group of four tables pushed together   the one with the chair pushed away,pool table-chair
scene0413_00-towel-4-32-28-29-31,of the two towels hanging on the wall in front of the toilet  the towel hanging on the right hand side,"towel-wall,towel-toilet"
scene0059_00-backpack-4-38-27-40-41,the backpack that is sitting on the couch,backpack-couch
scene0522_00-cabinet-6-1-0-2-3-4-26,the hanging cabinet in the corner to the right of the shelves on the wall,"cabinet-shelf,cabinet-wall"
scene0247_00-trash_can-3-14-25-41,the trashcan closest to the area with the refrigerator and cabinets,"trash bin-object,structure-refrigerator,structure-cabinets"
scene0324_00-stool-6-7-4-5-6-8-13,when facing the wall with the two paintings  the stool farthest to the left hand side in the corner,"wall-picture,stool-wall"
scene0110_00-wardrobe_closet-2-25-3,the wardrobe closet furthest from the door,wardrobe-closet
scene0510_00-door-2-53-7,the door closest to the shelves on the wall,"door-wall,door-shelf"
scene0117_00-recycling_bin-4-20-18-19-21,of the group of three recycling bins  the one furthest from the counter,recycling bin-counter
scene0125_00-sofa_chair-2-1-4,the sofa chair closest to the wood table,sofa chair-dining table
scene0330_00-pillow-5-13-10-12-14-15,the rear pillow on the couch on the left hand side and below the shelves,"pillow-couch,couch-shelf"
scene0335_00-stool-2-31-26,the stool that is closest to the wall,stool-wall
scene0517_00-backpack-4-58-12-13-14,the backpack in the floor leaning against the desk,"backpack-desk,backpack-floor"
scene0128_00-pillow-6-10-6-7-8-9-11,the front pillow at the right hand side of the couch,pillow-couch
scene0676_00-towel-5-9-7-17-18-25,the towel lying on the floor,towel-floor
scene0505_00-box-5-54-33-38-52-53,the box next to the door and against the wall,"box-door,box-wall"
